Country
Culture
Literature
Material
Provenance
Geolocation
Country_Subdivision
Site
Time_Period
Dating
Find
Phase
Parish
District
Feature
MaterialCreationRank
MaterialProcessingRank
PlantCultivationCommon
AnimalManagementCommon
PortageCommon
RidingCommon
TractionCommon
EnslavementCommon
CopperSmeltedCommon
BronzeCommon
Writing
WeightsMeasures
IntrasitePublicBuildings
SpecialisedProduction
IronsSmeltedCommon
